course_id,course_title,course_description,career_path,career_level,sector,job_role,primary_skill,secondary_skills,difficulty_level,duration_hours,provider,prerequisites,learning_outcomes,career_progression_target
C0001,Junior Software Engineer - Fundamentals,Comprehensive entry-level course for Junior Software Engineer professionals focusing on Data Analytics and related competencies,Software Engineering,entry,Agrifood,Junior Software Engineer,Data Analytics,"Food Safety Management, Equipment Maintenance and Housekeeping, Lesson Planning",Beginner,16,edX,None,"Master Data Analytics, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0002,Junior Software Engineer - Advanced Concepts,Comprehensive entry-level course for Junior Software Engineer professionals focusing on Data Analytics and related competencies,Software Engineering,entry,Aerospace,Junior Software Engineer,Data Analytics,"Food Safety Management, Lesson Planning, Equipment Maintenance and Housekeeping",Beginner,24,Pluralsight,None,"Master Data Analytics, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0003,Junior Software Engineer - Practical Applications,Comprehensive entry-level course for Junior Software Engineer professionals focusing on Data Analytics and related competencies,Software Engineering,entry,Arts,Junior Software Engineer,Data Analytics,"Lesson Planning, Equipment Maintenance and Housekeeping, Food Safety Management",Beginner,18,Udemy,None,"Master Data Analytics, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0004,Software Developer Intern - Fundamentals,Comprehensive entry-level course for Software Developer Intern professionals focusing on Business Acumen and related competencies,Software Engineering,entry,Agrifood,Software Developer Intern,Business Acumen,"Equipment Maintenance and Housekeeping, Lesson Planning, Food Safety Management",Intermediate,25,External Certification,None,"Master Business Acumen, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0005,Software Developer Intern - Advanced Concepts,Comprehensive entry-level course for Software Developer Intern professionals focusing on Data Analytics and related competencies,Software Engineering,entry,Accountancy,Software Developer Intern,Data Analytics,"Food Safety Management, Equipment Maintenance and Housekeeping, Lesson Planning",Intermediate,35,Coursera,None,"Master Data Analytics, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0006,Software Developer Intern - Practical Applications,Comprehensive entry-level course for Software Developer Intern professionals focusing on Systems Thinking and related competencies,Software Engineering,entry,Arts,Software Developer Intern,Systems Thinking,"Food Safety Management, Equipment Maintenance and Housekeeping, Lesson Planning",Intermediate,34,Udemy,None,"Master Systems Thinking, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0007,Graduate Software Engineer - Fundamentals,Comprehensive entry-level course for Graduate Software Engineer professionals focusing on Programming and Coding and related competencies,Software Engineering,entry,Arts,Graduate Software Engineer,Programming and Coding,"Lesson Planning, Equipment Maintenance and Housekeeping, Food Safety Management",Beginner,22,Udemy,None,"Master Programming and Coding, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0008,Graduate Software Engineer - Advanced Concepts,Comprehensive entry-level course for Graduate Software Engineer professionals focusing on Business Acumen and related competencies,Software Engineering,entry,Aerospace,Graduate Software Engineer,Business Acumen,"Equipment Maintenance and Housekeeping, Lesson Planning, Food Safety Management",Intermediate,33,Internal Training,None,"Master Business Acumen, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0009,Graduate Software Engineer - Practical Applications,Comprehensive entry-level course for Graduate Software Engineer professionals focusing on Programming and Coding and related competencies,Software Engineering,entry,Arts,Graduate Software Engineer,Programming and Coding,"Lesson Planning, Food Safety Management, Equipment Maintenance and Housekeeping",Beginner,21,Udemy,None,"Master Programming and Coding, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0010,Software Engineer - Fundamentals,Comprehensive mid-level course for Software Engineer professionals focusing on Project Execution and Control and related competencies,Software Engineering,mid,Arts,Software Engineer,Project Execution and Control,"Systems Thinking, Programming and Coding, Green Manufacturing Design and Implementation, Arts Curriculum Design, Business Acumen",Intermediate,40,LinkedIn Learning,Completion of mid level requirements,"Master Project Execution and Control, develop 5 supporting skills, advance to mid proficiency",Senior level roles
C0011,Software Engineer - Advanced Concepts,Comprehensive mid-level course for Software Engineer professionals focusing on Project Execution and Control and related competencies,Software Engineering,mid,Aerospace,Software Engineer,Project Execution and Control,"Systems Thinking, Green Manufacturing Design and Implementation, Business Acumen, Arts Curriculum Design, Aircraft Sensing Components Maintenance, Data Analytics, Programming and Coding",Intermediate,52,Udemy,Completion of mid level requirements,"Master Project Execution and Control, develop 7 supporting skills, advance to mid proficiency",Senior level roles
C0012,Software Engineer - Practical Applications,Comprehensive mid-level course for Software Engineer professionals focusing on Food Safety Management and related competencies,Software Engineering,mid,Arts,Software Engineer,Food Safety Management,"Business Acumen, Green Manufacturing Design and Implementation, Programming and Coding, Data Analytics, Systems Thinking, Aircraft Sensing Components Maintenance, Arts Curriculum Design",Intermediate,42,Pluralsight,Completion of mid level requirements,"Master Food Safety Management, develop 7 supporting skills, advance to mid proficiency",Senior level roles
C0013,Software Engineer - Leadership Skills,Comprehensive mid-level course for Software Engineer professionals focusing on Financial Modelling and related competencies,Software Engineering,mid,Arts,Software Engineer,Financial Modelling,"Business Acumen, Aircraft Sensing Components Maintenance, Data Analytics, Green Manufacturing Design and Implementation",Advanced,72,LinkedIn Learning,Completion of mid level requirements,"Master Financial Modelling, develop 4 supporting skills, advance to mid proficiency",Senior level roles
C0014,Full Stack Developer - Fundamentals,Comprehensive mid-level course for Full Stack Developer professionals focusing on Equipment Maintenance and Housekeeping and related competencies,Software Engineering,mid,Aerospace,Full Stack Developer,Equipment Maintenance and Housekeeping,"Data Analytics, Systems Thinking, Aircraft Sensing Components Maintenance, Green Manufacturing Design and Implementation, Business Acumen, Programming and Coding, Arts Curriculum Design",Intermediate,46,MasterClass,Completion of mid level requirements,"Master Equipment Maintenance and Housekeeping, develop 7 supporting skills, advance to mid proficiency",Senior level roles
C0015,Full Stack Developer - Advanced Concepts,Comprehensive mid-level course for Full Stack Developer professionals focusing on Food Safety Management and related competencies,Software Engineering,mid,Arts,Full Stack Developer,Food Safety Management,"Business Acumen, Green Manufacturing Design and Implementation, Aircraft Sensing Components Maintenance, Programming and Coding",Advanced,68,MasterClass,Completion of mid level requirements,"Master Food Safety Management, develop 4 supporting skills, advance to mid proficiency",Senior level roles
C0016,Full Stack Developer - Practical Applications,Comprehensive mid-level course for Full Stack Developer professionals focusing on Infrastructure Design and related competencies,Software Engineering,mid,Agrifood,Full Stack Developer,Infrastructure Design,"Data Analytics, Systems Thinking, Arts Curriculum Design, Aircraft Sensing Components Maintenance",Advanced,63,External Certification,Completion of mid level requirements,"Master Infrastructure Design, develop 4 supporting skills, advance to mid proficiency",Senior level roles
C0017,Full Stack Developer - Leadership Skills,Comprehensive mid-level course for Full Stack Developer professionals focusing on Infrastructure Design and related competencies,Software Engineering,mid,Arts,Full Stack Developer,Infrastructure Design,"Systems Thinking, Business Acumen, Green Manufacturing Design and Implementation, Programming and Coding, Arts Curriculum Design",Advanced,55,External Certification,Completion of mid level requirements,"Master Infrastructure Design, develop 5 supporting skills, advance to mid proficiency",Senior level roles
C0018,Backend Developer - Fundamentals,Comprehensive mid-level course for Backend Developer professionals focusing on Food Safety Management and related competencies,Software Engineering,mid,Agrifood,Backend Developer,Food Safety Management,"Arts Curriculum Design, Data Analytics, Programming and Coding, Aircraft Sensing Components Maintenance, Green Manufacturing Design and Implementation",Advanced,74,Coursera,Completion of mid level requirements,"Master Food Safety Management, develop 5 supporting skills, advance to mid proficiency",Senior level roles
C0019,Backend Developer - Advanced Concepts,Comprehensive mid-level course for Backend Developer professionals focusing on Lesson Planning and related competencies,Software Engineering,mid,Accountancy,Backend Developer,Lesson Planning,"Data Analytics, Green Manufacturing Design and Implementation, Arts Curriculum Design, Systems Thinking, Aircraft Sensing Components Maintenance",Advanced,58,LinkedIn Learning,Completion of mid level requirements,"Master Lesson Planning, develop 5 supporting skills, advance to mid proficiency",Senior level roles
C0020,Backend Developer - Practical Applications,Comprehensive mid-level course for Backend Developer professionals focusing on Equipment Maintenance and Housekeeping and related competencies,Software Engineering,mid,Aerospace,Backend Developer,Equipment Maintenance and Housekeeping,"Systems Thinking, Programming and Coding, Arts Curriculum Design, Data Analytics, Business Acumen, Green Manufacturing Design and Implementation, Aircraft Sensing Components Maintenance",Intermediate,52,LinkedIn Learning,Completion of mid level requirements,"Master Equipment Maintenance and Housekeeping, develop 7 supporting skills, advance to mid proficiency",Senior level roles
C0021,Backend Developer - Leadership Skills,Comprehensive mid-level course for Backend Developer professionals focusing on Project Execution and Control and related competencies,Software Engineering,mid,Aerospace,Backend Developer,Project Execution and Control,"Programming and Coding, Business Acumen, Systems Thinking, Arts Curriculum Design",Advanced,70,Udemy,Completion of mid level requirements,"Master Project Execution and Control, develop 4 supporting skills, advance to mid proficiency",Senior level roles
